quest 	 dataset 	 task 	 cond 	 anskey 	 answer 	 truefalse 	 time 
1	1	1	4	1	1	0	45
2	2	1	3	2	2	0	24
3	3	1	1	2	2	0	17
4	1	1	2	1	3	-1	63
5	2	1	4	1	1	0	30
6	3	1	3	1	1	0	14
7	1	1	1	2	2	0	18
8	2	1	2	1	1	0	11
9	3	1	4	2	2	0	38
10	1	1	3	2	2	0	21
11	2	1	1	1	1	0	15
12	3	1	2	2	2	0	24
13	1	2	4	3	3	0	18
14	2	2	3	2	2	0	12
15	3	2	1	3	3	0	24
16	1	2	2	1	1	0	31
17	2	2	4	2	2	0	20
18	3	2	3	3	3	0	18
19	1	2	1	2	2	0	14
20	2	2	2	1	1	0	31
21	3	2	4	1	1	0	45
22	1	2	3	2	2	0	28
23	2	2	1	3	3	0	31
24	3	2	2	3	3	0	23
25	1	3	4	1	1	0	11
26	2	3	3	1	1	0	8
27	3	3	1	2	2	0	14
28	1	3	2	2	2	0	7
29	2	3	4	1	1	0	11
30	3	3	3	2	2	0	31
31	1	3	1	2	2	0	20
32	2	3	2	1	1	0	12
33	3	3	4	1	1	0	9
34	1	3	3	2	2	0	12
35	2	3	1	2	2	0	20
36	3	3	2	1	1	0	14
37	1	4	4	2	2	0	17
38	2	4	2	1	1	0	14
39	3	4	1	1	1	0	13
40	1	4	3	2	2	0	20
41	2	4	4	2	2	0	31
42	3	4	2	2	2	0	12
43	1	4	1	1	1	0	14
44	2	4	3	2	1	-1	19
45	3	4	4	1	1	0	27
46	1	4	2	1	1	0	15
47	2	4	1	2	2	0	17
48	3	4	3	2	2	0	85
49	1	5	4	2	2	0	15
50	2	5	3	3	3	0	29
51	3	5	1	2	2	0	46
52	1	5	2	1	1	0	12
53	2	5	4	1	1	0	11
54	3	5	3	1	1	0	19
55	1	5	1	3	3	0	67
56	2	5	2	2	2	0	10
57	3	5	4	1	1	0	18
58	1	5	3	2	3	-1	93
59	2	5	1	2	2	0	18
60	3	5	2	1	1	0	14
