quest 	 dataset 	 task 	 cond 	 anskey 	 answer 	 truefalse 	 time 
1	1	1	3	1	1	0	15
2	2	1	2	2	2	0	9
3	3	1	1	2	2	0	18
4	1	1	4	1	1	0	18
5	2	1	3	1	1	0	21
6	3	1	2	1	1	0	9
7	1	1	1	2	2	0	16
8	2	1	4	1	1	0	9
9	3	1	3	2	2	0	27
10	1	1	2	2	2	0	11
11	2	1	1	1	1	0	6
12	3	1	4	2	2	0	29
13	1	2	3	3	3	0	15
14	2	2	2	2	2	0	12
15	3	2	1	3	3	0	10
16	1	2	4	1	1	0	18
17	2	2	3	2	2	0	16
18	3	2	2	3	3	0	9
19	1	2	1	2	2	0	9
20	2	2	4	1	1	0	14
21	3	2	3	1	1	0	21
22	1	2	2	2	2	0	9
23	2	2	1	3	3	0	13
24	3	2	4	3	2	-1	15
25	1	3	3	1	1	0	5
26	2	3	2	1	1	0	14
27	3	3	1	2	2	0	14
28	1	3	4	2	2	0	15
29	2	3	3	1	1	0	6
30	3	3	2	2	2	0	19
31	1	3	1	2	2	0	15
32	2	3	4	1	1	0	9
33	3	3	3	1	1	0	6
34	1	3	2	2	2	0	11
35	2	3	1	2	2	0	16
36	3	3	4	1	1	0	8
37	1	4	2	2	2	0	10
38	2	4	3	1	1	0	19
39	3	4	1	1	1	0	7
40	1	4	4	2	2	0	25
41	2	4	2	2	2	0	27
42	3	4	3	2	2	0	11
43	1	4	1	1	1	0	8
44	2	4	4	2	1	-1	9
45	3	4	2	1	1	0	9
46	1	4	3	1	1	0	15
47	2	4	1	2	2	0	14
48	3	4	4	2	2	0	52
49	1	5	3	2	2	0	91
50	2	5	2	3	1	-1	6
51	3	5	1	2	2	0	9
52	1	5	4	1	1	0	10
53	2	5	3	1	1	0	12
54	3	5	2	1	1	0	3
55	1	5	1	3	2	-1	48
56	2	5	4	2	2	0	12
57	3	5	3	1	1	0	7
58	1	5	2	2	2	0	5
59	2	5	1	2	2	0	9
60	3	5	4	1	1	0	9
