quest 	 dataset 	 task 	 cond 	 anskey 	 answer 	 truefalse 	 time 
1	1	1	2	1	1	0	10
2	2	1	4	2	2	0	12
3	3	1	3	2	2	0	12
4	1	1	1	1	1	0	15
5	2	1	2	1	1	0	8
6	3	1	4	1	1	0	18
7	1	1	3	2	2	0	13
8	2	1	1	1	1	0	8
9	3	1	2	2	2	0	12
10	1	1	4	2	2	0	16
11	2	1	3	1	2	-1	16
12	3	1	1	2	2	0	10
13	1	2	2	3	3	0	8
14	2	2	4	2	3	-1	9
15	3	2	3	3	2	-1	12
16	1	2	1	1	3	-1	10
17	2	2	2	2	2	0	8
18	3	2	4	3	1	-1	14
19	1	2	3	2	3	-1	15
20	2	2	1	1	1	0	11
21	3	2	2	1	1	0	29
22	1	2	4	2	1	-1	14
23	2	2	3	3	2	-1	13
24	3	2	1	3	3	0	19
25	1	3	2	1	1	0	9
26	2	3	4	1	1	0	7
27	3	3	3	2	2	0	7
28	1	3	1	2	2	0	14
29	2	3	2	1	1	0	5
30	3	3	4	2	2	0	16
31	1	3	3	2	2	0	15
32	2	3	1	1	1	0	11
33	3	3	2	1	1	0	4
34	1	3	4	2	2	0	9
35	2	3	3	2	2	0	6
36	3	3	1	1	1	0	8
37	1	4	3	2	2	0	11
38	2	4	4	1	2	-1	17
39	3	4	2	1	1	0	8
40	1	4	1	2	2	0	20
41	2	4	3	2	2	0	16
42	3	4	4	2	2	0	10
43	1	4	2	1	1	0	7
44	2	4	1	2	2	0	10
45	3	4	3	1	1	0	12
46	1	4	4	1	1	0	15
47	2	4	2	2	2	0	12
48	3	4	1	2	2	0	10
49	1	5	2	2	2	0	28
50	2	5	4	3	3	0	19
51	3	5	3	2	2	0	16
52	1	5	1	1	1	0	13
53	2	5	2	1	1	0	5
54	3	5	4	1	1	0	11
55	1	5	3	3	3	0	32
56	2	5	1	2	2	0	10
57	3	5	2	1	1	0	7
58	1	5	4	2	2	0	12
59	2	5	3	2	2	0	20
60	3	5	1	1	1	0	9
