quest 	 dataset 	 task 	 cond 	 anskey 	 answer 	 truefalse 	 time 
1	1	1	2	1	1	0	8
2	2	1	1	2	2	0	15
3	3	1	3	2	2	0	14
4	1	1	4	1	1	0	21
5	2	1	2	1	1	0	10
6	3	1	1	1	1	0	18
7	1	1	3	2	2	0	15
8	2	1	4	1	2	-1	25
9	3	1	2	2	2	0	23
10	1	1	1	2	2	0	17
11	2	1	3	1	1	0	12
12	3	1	4	2	2	0	22
13	1	2	2	3	3	0	11
14	2	2	1	2	1	-1	18
15	3	2	3	3	2	-1	18
16	1	2	4	1	2	-1	23
17	2	2	2	2	2	0	12
18	3	2	1	3	1	-1	32
19	1	2	3	2	2	0	24
20	2	2	4	1	1	0	17
21	3	2	2	1	1	0	32
22	1	2	1	2	1	-1	22
23	2	2	3	3	3	0	19
24	3	2	4	3	2	-1	13
25	1	3	2	1	1	0	19
26	2	3	1	1	1	0	10
27	3	3	3	2	2	0	15
28	1	3	4	2	2	0	11
29	2	3	2	1	1	0	13
30	3	3	1	2	2	0	17
31	1	3	3	2	2	0	20
32	2	3	4	1	1	0	26
33	3	3	2	1	1	0	15
34	1	3	1	2	2	0	35
35	2	3	3	2	2	0	15
36	3	3	4	1	1	0	11
37	1	4	3	2	2	0	16
38	2	4	1	1	1	0	13
39	3	4	2	1	2	-1	15
40	1	4	4	2	1	-1	11
41	2	4	3	2	2	0	16
42	3	4	1	2	2	0	17
43	1	4	2	1	1	0	10
44	2	4	4	2	2	0	29
45	3	4	3	1	1	0	13
46	1	4	1	1	1	0	16
47	2	4	2	2	2	0	16
48	3	4	4	2	2	0	28
49	1	5	2	2	3	-1	34
50	2	5	1	3	3	0	23
51	3	5	3	2	2	0	11
52	1	5	4	1	1	0	14
53	2	5	2	1	1	0	15
54	3	5	1	1	1	0	24
55	1	5	3	3	3	0	16
56	2	5	4	2	2	0	19
57	3	5	2	1	1	0	15
58	1	5	1	2	2	0	22
59	2	5	3	2	2	0	20
60	3	5	4	1	1	0	32
