quest 	 dataset 	 task 	 cond 	 anskey 	 answer 	 truefalse 	 time 
1	1	1	1	1	1	0	10
2	2	1	2	2	2	0	10
3	3	1	4	2	2	0	12
4	1	1	3	1	3	-1	13
5	2	1	1	1	1	0	9
6	3	1	2	1	1	0	17
7	1	1	4	2	2	0	24
8	2	1	3	1	1	0	23
9	3	1	1	2	2	0	16
10	1	1	2	2	2	0	18
11	2	1	4	1	1	0	51
12	3	1	3	2	2	0	19
13	1	2	1	3	3	0	13
14	2	2	2	2	3	-1	13
15	3	2	4	3	2	-1	12
16	1	2	3	1	1	0	21
17	2	2	1	2	2	0	15
18	3	2	2	3	3	0	13
19	1	2	4	2	3	-1	22
20	2	2	3	1	1	0	19
21	3	2	1	1	1	0	17
22	1	2	2	2	2	0	13
23	2	2	4	3	3	0	36
24	3	2	3	3	2	-1	23
25	1	3	1	1	1	0	15
26	2	3	2	1	1	0	12
27	3	3	4	2	2	0	11
28	1	3	3	2	2	0	11
29	2	3	1	1	1	0	9
30	3	3	2	2	2	0	17
31	1	3	4	2	2	0	25
32	2	3	3	1	1	0	31
33	3	3	1	1	1	0	11
34	1	3	2	2	2	0	38
35	2	3	4	2	2	0	49
36	3	3	3	1	1	0	5
37	1	4	1	2	2	0	17
38	2	4	3	1	1	0	17
39	3	4	4	1	1	0	22
40	1	4	2	2	2	0	22
41	2	4	1	2	2	0	17
42	3	4	3	2	2	0	14
43	1	4	4	1	1	0	10
44	2	4	2	2	2	0	12
45	3	4	1	1	1	0	21
46	1	4	3	1	1	0	23
47	2	4	4	2	2	0	27
48	3	4	2	2	2	0	12
49	1	5	1	2	3	-1	91
50	2	5	2	3	3	0	15
51	3	5	4	2	2	0	11
52	1	5	3	1	1	0	13
53	2	5	1	1	1	0	20
54	3	5	2	1	1	0	6
55	1	5	4	3	2	-1	53
56	2	5	3	2	2	0	18
57	3	5	1	1	1	0	12
58	1	5	2	2	3	-1	48
59	2	5	4	2	2	0	21
60	3	5	3	1	1	0	20
