quest 	 dataset 	 task 	 cond 	 anskey 	 answer 	 truefalse 	 time 
1	1	1	2	1	1	0	8
2	2	1	1	2	2	0	11
3	3	1	4	2	2	0	16
4	1	1	3	1	1	0	12
5	2	1	2	1	1	0	7
6	3	1	1	1	1	0	12
7	1	1	4	2	2	0	10
8	2	1	3	1	1	0	20
9	3	1	2	2	2	0	20
10	1	1	1	2	2	0	15
11	2	1	4	1	1	0	15
12	3	1	3	2	2	0	12
13	1	2	2	3	3	0	10
14	2	2	1	2	2	0	11
15	3	2	4	3	3	0	26
16	1	2	3	1	1	0	14
17	2	2	2	2	2	0	16
18	3	2	1	3	3	0	10
19	1	2	4	2	2	0	21
20	2	2	3	1	1	0	50
21	3	2	2	1	1	0	26
22	1	2	1	2	2	0	17
23	2	2	4	3	3	0	33
24	3	2	3	3	2	-1	24
25	1	3	2	1	1	0	8
26	2	3	1	1	1	0	11
27	3	3	4	2	2	0	9
28	1	3	3	2	2	0	20
29	2	3	2	1	1	0	9
30	3	3	1	2	2	0	24
31	1	3	4	2	2	0	16
32	2	3	3	1	1	0	7
33	3	3	2	1	1	0	5
34	1	3	1	2	2	0	16
35	2	3	4	2	2	0	23
36	3	3	3	1	1	0	6
37	1	4	3	2	2	0	15
38	2	4	1	1	1	0	10
39	3	4	4	1	1	0	9
40	1	4	2	2	2	0	9
41	2	4	3	2	2	0	28
42	3	4	1	2	2	0	30
43	1	4	4	1	1	0	11
44	2	4	2	2	1	-1	15
45	3	4	3	1	1	0	12
46	1	4	1	1	1	0	9
47	2	4	4	2	2	0	10
48	3	4	2	2	2	0	10
49	1	5	2	2	2	0	19
50	2	5	1	3	3	0	26
51	3	5	4	2	2	0	15
52	1	5	3	1	1	0	20
53	2	5	2	1	1	0	17
54	3	5	1	1	1	0	14
55	1	5	4	3	3	0	60
56	2	5	3	2	2	0	11
57	3	5	2	1	1	0	14
58	1	5	1	2	3	-1	36
59	2	5	4	2	2	0	20
60	3	5	3	1	1	0	16
