quest 	 dataset 	 task 	 cond 	 anskey 	 answer 	 truefalse 	 time 
1	1	1	4	1	1	0	14
2	2	1	3	2	2	0	13
3	3	1	2	2	2	0	13
4	1	1	1	1	1	0	11
5	2	1	4	1	1	0	9
6	3	1	3	1	1	0	7
7	1	1	2	2	2	0	12
8	2	1	1	1	1	0	8
9	3	1	4	2	2	0	18
10	1	1	3	2	2	0	10
11	2	1	2	1	1	0	6
12	3	1	1	2	2	0	15
13	1	2	4	3	3	0	12
14	2	2	3	2	2	0	10
15	3	2	2	3	3	0	10
16	1	2	1	1	1	0	12
17	2	2	4	2	2	0	14
18	3	2	3	3	3	0	12
19	1	2	2	2	2	0	8
20	2	2	1	1	2	-1	12
21	3	2	4	1	3	-1	19
22	1	2	3	2	2	0	20
23	2	2	2	3	3	0	11
24	3	2	1	3	3	0	13
25	1	3	4	1	1	0	12
26	2	3	3	1	1	0	7
27	3	3	2	2	2	0	8
28	1	3	1	2	2	0	9
29	2	3	4	1	1	0	13
30	3	3	3	2	2	0	16
31	1	3	2	2	2	0	7
32	2	3	1	1	1	0	7
33	3	3	4	1	1	0	5
34	1	3	3	2	2	0	10
35	2	3	2	2	2	0	8
36	3	3	1	1	1	0	7
37	1	4	4	2	2	0	12
38	2	4	2	1	1	0	8
39	3	4	3	1	1	0	17
40	1	4	1	2	2	0	11
41	2	4	4	2	2	0	17
42	3	4	2	2	2	0	9
43	1	4	3	1	1	0	10
44	2	4	1	2	1	-1	9
45	3	4	4	1	1	0	25
46	1	4	2	1	1	0	7
47	2	4	3	2	1	-1	23
48	3	4	1	2	2	0	12
49	1	5	4	2	2	0	13
50	2	5	3	3	3	0	27
51	3	5	2	2	2	0	19
52	1	5	1	1	1	0	28
53	2	5	4	1	1	0	26
54	3	5	3	1	3	-1	24
55	1	5	2	3	3	0	46
56	2	5	1	2	2	0	22
57	3	5	4	1	1	0	13
58	1	5	3	2	3	-1	18
59	2	5	2	2	2	0	23
60	3	5	1	1	1	0	19
