quest 	 dataset 	 task 	 cond 	 anskey 	 answer 	 truefalse 	 time 
1	1	1	1	1	1	0	4
2	2	1	4	2	2	0	10
3	3	1	3	2	2	0	8
4	1	1	2	1	1	0	4
5	2	1	1	1	1	0	4
6	3	1	4	1	1	0	5
7	1	1	3	2	2	0	6
8	2	1	2	1	1	0	7
9	3	1	1	2	2	0	9
10	1	1	4	2	2	0	8
11	2	1	3	1	1	0	6
12	3	1	2	2	2	0	11
13	1	2	1	3	3	0	6
14	2	2	4	2	2	0	9
15	3	2	3	3	2	-1	7
16	1	2	2	1	1	0	9
17	2	2	1	2	2	0	7
18	3	2	4	3	3	0	11
19	1	2	3	2	3	-1	8
20	2	2	2	1	1	0	7
21	3	2	1	1	1	0	13
22	1	2	4	2	1	-1	10
23	2	2	3	3	3	0	11
24	3	2	2	3	3	0	9
25	1	3	1	1	1	0	3
26	2	3	4	1	1	0	5
27	3	3	3	2	2	0	4
28	1	3	2	2	2	0	3
29	2	3	1	1	1	0	11
30	3	3	4	2	2	0	7
31	1	3	3	2	2	0	5
32	2	3	2	1	1	0	4
33	3	3	1	1	1	0	4
34	1	3	4	2	2	0	6
35	2	3	3	2	2	0	6
36	3	3	2	1	1	0	3
37	1	4	1	2	2	0	6
38	2	4	4	1	1	0	9
39	3	4	2	1	1	0	5
40	1	4	3	2	2	0	8
41	2	4	1	2	2	0	8
42	3	4	4	2	2	0	9
43	1	4	2	1	1	0	7
44	2	4	3	2	2	0	12
45	3	4	1	1	1	0	6
46	1	4	4	1	1	0	8
47	2	4	2	2	2	0	10
48	3	4	3	2	2	0	14
49	1	5	1	2	2	0	3
50	2	5	4	3	3	0	14
51	3	5	3	2	2	0	7
52	1	5	2	1	1	0	6
53	2	5	1	1	1	0	3
54	3	5	4	1	1	0	8
55	1	5	3	3	3	0	27
56	2	5	2	2	2	0	4
57	3	5	1	1	1	0	4
58	1	5	4	2	2	0	13
59	2	5	3	2	2	0	17
60	3	5	2	1	1	0	8
