quest 	 dataset 	 task 	 cond 	 anskey 	 answer 	 truefalse 	 time 
1	1	1	2	1	1	0	12
2	2	1	3	2	2	0	11
3	3	1	4	2	2	0	11
4	1	1	1	1	1	0	9
5	2	1	2	1	1	0	5
6	3	1	3	1	1	0	10
7	1	1	4	2	2	0	16
8	2	1	1	1	1	0	12
9	3	1	2	2	2	0	19
10	1	1	3	2	2	0	19
11	2	1	4	1	1	0	8
12	3	1	1	2	2	0	28
13	1	2	2	3	3	0	13
14	2	2	3	2	2	0	24
15	3	2	4	3	3	0	23
16	1	2	1	1	1	0	16
17	2	2	2	2	2	0	15
18	3	2	3	3	3	0	19
19	1	2	4	2	2	0	18
20	2	2	1	1	1	0	27
21	3	2	2	1	1	0	23
22	1	2	3	2	2	0	17
23	2	2	4	3	3	0	36
24	3	2	1	3	3	0	24
25	1	3	2	1	1	0	16
26	2	3	3	1	1	0	10
27	3	3	4	2	2	0	22
28	1	3	1	2	2	0	15
29	2	3	2	1	1	0	11
30	3	3	3	2	2	0	21
31	1	3	4	2	2	0	13
32	2	3	1	1	1	0	9
33	3	3	2	1	1	0	10
34	1	3	3	2	2	0	12
35	2	3	4	2	2	0	14
36	3	3	1	1	1	0	9
37	1	4	3	2	2	0	16
38	2	4	2	1	1	0	8
39	3	4	4	1	1	0	10
40	1	4	1	2	2	0	18
41	2	4	3	2	2	0	23
42	3	4	2	2	1	-1	12
43	1	4	4	1	1	0	10
44	2	4	1	2	1	-1	10
45	3	4	3	1	1	0	20
46	1	4	2	1	1	0	18
47	2	4	4	2	2	0	20
48	3	4	1	2	2	0	21
49	1	5	2	2	2	0	33
50	2	5	3	3	3	0	63
51	3	5	4	2	2	0	19
52	1	5	1	1	1	0	18
53	2	5	2	1	1	0	23
54	3	5	3	1	1	0	21
55	1	5	4	3	3	0	48
56	2	5	1	2	3	-1	49
57	3	5	2	1	1	0	24
58	1	5	3	2	2	0	43
59	2	5	4	2	2	0	28
60	3	5	1	1	1	0	19
