quest 	 dataset 	 task 	 cond 	 anskey 	 answer 	 truefalse 	 time 
1	1	1	4	1	1	0	8
2	2	1	1	2	2	0	8
3	3	1	2	2	2	0	8
4	1	1	3	1	1	0	5
5	2	1	4	1	1	0	6
6	3	1	1	1	1	0	4
7	1	1	2	2	2	0	7
8	2	1	3	1	1	0	10
9	3	1	4	2	2	0	22
10	1	1	1	2	2	0	12
11	2	1	2	1	1	0	5
12	3	1	3	2	2	0	17
13	1	2	4	3	3	0	13
14	2	2	1	2	2	0	11
15	3	2	2	3	3	0	11
16	1	2	3	1	1	0	12
17	2	2	4	2	2	0	11
18	3	2	1	3	3	0	12
19	1	2	2	2	2	0	7
20	2	2	3	1	1	0	17
21	3	2	4	1	1	0	28
22	1	2	1	2	2	0	15
23	2	2	2	3	3	0	7
24	3	2	3	3	3	0	18
25	1	3	4	1	1	0	3
26	2	3	1	1	1	0	13
27	3	3	2	2	2	0	8
28	1	3	3	2	2	0	9
29	2	3	4	1	1	0	3
30	3	3	1	2	2	0	9
31	1	3	2	2	2	0	5
32	2	3	3	1	1	0	3
33	3	3	4	1	1	0	3
34	1	3	1	2	2	0	14
35	2	3	2	2	2	0	5
36	3	3	3	1	1	0	4
37	1	4	4	2	2	0	11
38	2	4	1	1	1	0	4
39	3	4	3	1	1	0	10
40	1	4	2	2	2	0	7
41	2	4	4	2	2	0	10
42	3	4	1	2	2	0	12
43	1	4	3	1	1	0	11
44	2	4	2	2	2	0	8
45	3	4	4	1	1	0	13
46	1	4	1	1	1	0	7
47	2	4	3	2	2	0	11
48	3	4	2	2	2	0	5
49	1	5	4	2	2	0	14
50	2	5	1	3	3	0	39
51	3	5	2	2	2	0	5
52	1	5	3	1	1	0	5
53	2	5	4	1	1	0	11
54	3	5	1	1	1	0	9
55	1	5	2	3	3	0	54
56	2	5	3	2	2	0	29
57	3	5	4	1	1	0	12
58	1	5	1	2	2	0	12
59	2	5	2	2	3	-1	17
60	3	5	3	1	1	0	10
