quest 	 dataset 	 task 	 cond 	 anskey 	 answer 	 truefalse 	 time 
1	1	1	3	1	1	0	18
2	2	1	4	2	2	0	14
3	3	1	2	2	2	0	12
4	1	1	1	1	1	0	8
5	2	1	3	1	1	0	11
6	3	1	4	1	1	0	7
7	1	1	2	2	2	0	15
8	2	1	1	1	1	0	11
9	3	1	3	2	2	0	19
10	1	1	4	2	2	0	12
11	2	1	2	1	1	0	11
12	3	1	1	2	2	0	17
13	1	2	3	3	1	-1	22
14	2	2	4	2	2	0	14
15	3	2	2	3	3	0	9
16	1	2	1	1	1	0	35
17	2	2	3	2	2	0	21
18	3	2	4	3	2	-1	14
19	1	2	2	2	2	0	9
20	2	2	1	1	1	0	11
21	3	2	3	1	3	-1	39
22	1	2	4	2	1	-1	15
23	2	2	2	3	3	0	13
24	3	2	1	3	3	0	12
25	1	3	3	1	1	0	5
26	2	3	4	1	1	0	5
27	3	3	2	2	2	0	8
28	1	3	1	2	2	0	10
29	2	3	3	1	1	0	12
30	3	3	4	2	2	0	10
31	1	3	2	2	2	0	9
32	2	3	1	1	1	0	14
33	3	3	3	1	1	0	12
34	1	3	4	2	2	0	20
35	2	3	2	2	2	0	6
36	3	3	1	1	1	0	12
37	1	4	2	2	2	0	21
38	2	4	4	1	1	0	25
39	3	4	3	1	1	0	16
40	1	4	1	2	2	0	23
41	2	4	2	2	2	0	29
42	3	4	4	2	2	0	24
43	1	4	3	1	1	0	23
44	2	4	1	2	1	-1	14
45	3	4	2	1	1	0	31
46	1	4	4	1	1	0	25
47	2	4	3	2	2	0	17
48	3	4	1	2	2	0	19
49	1	5	3	2	2	0	67
50	2	5	4	3	3	0	41
51	3	5	2	2	2	0	61
52	1	5	1	1	1	0	59
53	2	5	3	1	1	0	38
54	3	5	4	1	1	0	20
55	1	5	2	3	3	0	51
56	2	5	1	2	2	0	45
57	3	5	3	1	3	-1	60
58	1	5	4	2	3	-1	41
59	2	5	2	2	2	0	26
60	3	5	1	1	1	0	14
