quest 	 dataset 	 task 	 cond 	 anskey 	 answer 	 truefalse 	 time 
1	1	1	3	1	1	0	12
2	2	1	4	2	2	0	13
3	3	1	1	2	2	0	13
4	1	1	2	1	3	-1	14
5	2	1	3	1	1	0	8
6	3	1	4	1	1	0	10
7	1	1	1	2	2	0	17
8	2	1	2	1	1	0	10
9	3	1	3	2	2	0	21
10	1	1	4	2	2	0	24
11	2	1	1	1	2	-1	29
12	3	1	2	2	2	0	15
13	1	2	3	3	3	0	13
14	2	2	4	2	2	0	10
15	3	2	1	3	2	-1	14
16	1	2	2	1	1	0	12
17	2	2	3	2	2	0	14
18	3	2	4	3	3	0	12
19	1	2	1	2	2	0	15
20	2	2	2	1	1	0	10
21	3	2	3	1	3	-1	38
22	1	2	4	2	2	0	13
23	2	2	1	3	3	0	20
24	3	2	2	3	2	-1	10
25	1	3	3	1	1	0	12
26	2	3	4	1	2	-1	10
27	3	3	1	2	3	-1	33
28	1	3	2	2	1	-1	9
29	2	3	3	1	3	-1	29
30	3	3	4	2	1	-1	12
31	1	3	1	2	2	0	22
32	2	3	2	1	1	0	14
33	3	3	3	1	3	-1	19
34	1	3	4	2	2	0	24
35	2	3	1	2	2	0	14
36	3	3	2	1	1	0	9
37	1	4	2	2	2	0	12
38	2	4	4	1	1	0	16
39	3	4	1	1	1	0	11
40	1	4	3	2	2	0	37
41	2	4	2	2	2	0	20
42	3	4	4	2	2	0	10
43	1	4	1	1	1	0	16
44	2	4	3	2	2	0	29
45	3	4	2	1	1	0	26
46	1	4	4	1	1	0	22
47	2	4	1	2	2	0	15
48	3	4	3	2	2	0	15
49	1	5	3	2	2	0	22
50	2	5	4	3	3	0	39
51	3	5	1	2	3	-1	35
52	1	5	2	1	1	0	12
53	2	5	3	1	1	0	12
54	3	5	4	1	1	0	21
55	1	5	1	3	3	0	39
56	2	5	2	2	2	0	10
57	3	5	3	1	1	0	13
58	1	5	4	2	3	-1	37
59	2	5	1	2	2	0	22
60	3	5	2	1	1	0	11
