quest 	 dataset 	 task 	 cond 	 anskey 	 answer 	 truefalse 	 time 
1	1	1	1	1	1	0	23
2	2	1	2	2	2	0	23
3	3	1	3	2	2	0	17
4	1	1	4	1	1	0	18
5	2	1	1	1	1	0	44
6	3	1	2	1	1	0	18
7	1	1	3	2	2	0	13
8	2	1	4	1	1	0	12
9	3	1	1	2	2	0	24
10	1	1	2	2	1	-1	12
11	2	1	3	1	1	0	16
12	3	1	4	2	2	0	19
13	1	2	1	3	1	-1	21
14	2	2	2	2	2	0	11
15	3	2	3	3	3	0	24
16	1	2	4	1	1	0	14
17	2	2	1	2	2	0	37
18	3	2	2	3	3	0	14
19	1	2	3	2	2	0	13
20	2	2	4	1	1	0	11
21	3	2	1	1	3	-1	53
22	1	2	2	2	2	0	11
23	2	2	3	3	3	0	20
24	3	2	4	3	2	-1	18
25	1	3	1	1	1	0	5
26	2	3	2	1	1	0	7
27	3	3	3	2	2	0	8
28	1	3	4	2	2	0	10
29	2	3	1	1	3	-1	23
30	3	3	2	2	2	0	14
31	1	3	3	2	2	0	12
32	2	3	4	1	1	0	6
33	3	3	1	1	1	0	11
34	1	3	2	2	2	0	10
35	2	3	3	2	2	0	15
36	3	3	4	1	1	0	6
37	1	4	1	2	2	0	22
38	2	4	3	1	1	0	17
39	3	4	2	1	1	0	15
40	1	4	4	2	2	0	10
41	2	4	1	2	2	0	16
42	3	4	3	2	2	0	27
43	1	4	2	1	1	0	9
44	2	4	4	2	2	0	12
45	3	4	1	1	1	0	21
46	1	4	3	1	1	0	13
47	2	4	2	2	2	0	27
48	3	4	4	2	2	0	20
49	1	5	1	2	2	0	35
50	2	5	2	3	3	0	28
51	3	5	3	2	2	0	15
52	1	5	4	1	1	0	10
53	2	5	1	1	1	0	14
54	3	5	2	1	1	0	13
55	1	5	3	3	3	0	19
56	2	5	4	2	2	0	20
57	3	5	1	1	3	-1	35
58	1	5	2	2	2	0	40
59	2	5	3	2	3	-1	11
60	3	5	4	1	1	0	8
