quest 	 dataset 	 task 	 cond 	 anskey 	 answer 	 truefalse 	 time 
1	1	1	4	1	1	0	10
2	2	1	2	2	2	0	12
3	3	1	1	2	2	0	13
4	1	1	3	1	1	0	16
5	2	1	4	1	1	0	9
6	3	1	2	1	1	0	7
7	1	1	1	2	2	0	14
8	2	1	3	1	1	0	20
9	3	1	4	2	2	0	28
10	1	1	2	2	2	0	16
11	2	1	1	1	1	0	16
12	3	1	3	2	2	0	20
13	1	2	4	3	3	0	15
14	2	2	2	2	2	0	10
15	3	2	1	3	3	0	19
16	1	2	3	1	3	-1	20
17	2	2	4	2	2	0	12
18	3	2	2	3	3	0	11
19	1	2	1	2	2	0	19
20	2	2	3	1	3	-1	29
21	3	2	4	1	2	-1	33
22	1	2	2	2	2	0	14
23	2	2	1	3	3	0	16
24	3	2	3	3	3	0	30
25	1	3	4	1	1	0	7
26	2	3	2	1	1	0	6
27	3	3	1	2	2	0	21
28	1	3	3	2	2	0	8
29	2	3	4	1	1	0	9
30	3	3	2	2	2	0	10
31	1	3	1	2	2	0	15
32	2	3	3	1	1	0	6
33	3	3	4	1	1	0	4
34	1	3	2	2	2	0	7
35	2	3	1	2	2	0	16
36	3	3	3	1	1	0	8
37	1	4	4	2	2	0	11
38	2	4	3	1	1	0	11
39	3	4	1	1	1	0	11
40	1	4	2	2	2	0	11
41	2	4	4	2	2	0	30
42	3	4	3	2	2	0	18
43	1	4	1	1	1	0	10
44	2	4	2	2	2	0	18
45	3	4	4	1	1	0	28
46	1	4	3	1	1	0	17
47	2	4	1	2	2	0	21
48	3	4	2	2	2	0	9
49	1	5	4	2	2	0	29
50	2	5	2	3	3	0	38
51	3	5	1	2	2	0	37
52	1	5	3	1	1	0	18
53	2	5	4	1	1	0	23
54	3	5	2	1	1	0	12
55	1	5	1	3	3	0	39
56	2	5	3	2	2	0	10
57	3	5	4	1	1	0	16
58	1	5	2	2	2	0	30
59	2	5	1	2	3	-1	44
60	3	5	3	1	1	0	26
