quest 	 dataset 	 task 	 cond 	 anskey 	 answer 	 truefalse 	 time 
1	1	1	1	1	1	0	4
2	2	1	3	2	2	0	8
3	3	1	4	2	2	0	9
4	1	1	2	1	1	0	6
5	2	1	1	1	1	0	4
6	3	1	3	1	1	0	5
7	1	1	4	2	2	0	11
8	2	1	2	1	1	0	4
9	3	1	1	2	2	0	10
10	1	1	3	2	2	0	12
11	2	1	4	1	1	0	7
12	3	1	2	2	2	0	8
13	1	2	1	3	3	0	10
14	2	2	3	2	2	0	8
15	3	2	4	3	3	0	10
16	1	2	2	1	1	0	10
17	2	2	1	2	2	0	8
18	3	2	3	3	3	0	10
19	1	2	4	2	3	-1	10
20	2	2	2	1	1	0	6
21	3	2	1	1	3	-1	14
22	1	2	3	2	1	-1	11
23	2	2	4	3	3	0	12
24	3	2	2	3	3	0	8
25	1	3	1	1	1	0	8
26	2	3	3	1	1	0	7
27	3	3	4	2	2	0	6
28	1	3	2	2	2	0	7
29	2	3	1	1	2	-1	12
30	3	3	3	2	2	0	8
31	1	3	4	2	2	0	7
32	2	3	2	1	1	0	3
33	3	3	1	1	1	0	3
34	1	3	3	2	2	0	9
35	2	3	4	2	2	0	7
36	3	3	2	1	2	-1	9
37	1	4	1	2	2	0	5
38	2	4	2	1	1	0	5
39	3	4	4	1	1	0	6
40	1	4	3	2	2	0	9
41	2	4	1	2	2	0	9
42	3	4	2	2	2	0	5
43	1	4	4	1	1	0	7
44	2	4	3	2	1	-1	9
45	3	4	1	1	1	0	8
46	1	4	2	1	1	0	6
47	2	4	4	2	2	0	10
48	3	4	3	2	2	0	13
49	1	5	1	2	2	0	11
50	2	5	3	3	3	0	34
51	3	5	4	2	2	0	10
52	1	5	2	1	1	0	8
53	2	5	1	1	1	0	6
54	3	5	3	1	1	0	9
55	1	5	4	3	3	0	59
56	2	5	2	2	2	0	6
57	3	5	1	1	1	0	8
58	1	5	3	2	2	0	10
59	2	5	4	2	2	0	15
60	3	5	2	1	1	0	9
