participant: 14 results file 
saved at: Tue Mar 22 13:41:38 2011
question 	 answer 	 time 
1	1	10
2	2	12
3	2	12
4	1	15
5	1	8
6	1	18
7	2	13
8	1	8
9	2	12
10	2	16
11	2	16
12	2	10
13	3	8
14	3	9
15	2	12
16	3	10
17	2	8
18	1	14
19	3	15
20	1	11
21	1	29
22	1	14
23	2	13
24	3	19
25	1	9
26	1	7
27	2	7
28	2	14
29	1	5
30	2	16
31	2	15
32	1	11
33	1	4
34	2	9
35	2	6
36	1	8
37	2	8
38	2	15
39	1	8
40	2	20
41	2	13
42	2	8
43	1	7
44	2	10
45	1	9
46	1	13
47	2	12
48	2	10
49	2	28
50	3	19
51	2	16
52	1	13
53	1	5
54	1	11
55	3	32
56	2	10
57	1	7
58	2	12
59	2	20
60	1	9
